Country Name,Year,IT.NET.USER.P2,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,SE.PRE.ENRL,SE.PRE.ENRL.FE,SE.PRM.ENRL,SE.PRM.ENRL.FE,SE.PRM.ENRL.FE.ZS,SE.PRM.TCHR,SE.PRM.TCHR.FE,SE.SEC.ENRL,SE.SEC.ENRL.FE,SE.SEC.ENRL.FE.ZS,SE.SEC.ENRL.GC,SE.SEC.ENRL.GC.FE,SE.SEC.ENRL.GC.FE.ZS,SE.SEC.ENRL.VO,SE.SEC.ENRL.VO.FE,SE.SEC.ENRL.VO.ZS,SE.SEC.TCHR,SP.POP.GROW,SP.POP.TOTL,UIS.E.1.G1,UIS.E.1.G1.F,UIS.E.1.G2,UIS.E.1.G2.F,UIS.E.1.G3,UIS.E.1.G3.F,UIS.E.1.G4,UIS.E.1.G4.F,UIS.GTVP.23.GPV
Syrian Arab Republic,1975,0.0,6826980767.0,905.9500887,32948.0,14460.0,1211570.0,475092.0,39.21292114,34995.0,14858.0,458327.0,138461.0,30.21009064,434281.0,133624.0,30.76902008,24046.0,4837.0,5.246469975,23289.0,3.408641727,7535714.0,241640.0,101328.0,225284.0,92886.0,225864.0,91267.0,201151.0,77437.0,94.75353241
Syrian Arab Republic,1976,0.0,7633528921.0,979.3277657,33477.0,14940.0,1273944.0,504939.0,39.63589096,37621.0,17035.0,488409.0,152060.0,31.13373947,463348.0,146925.0,31.70943069,25061.0,5135.0,5.131149769,24895.0,3.378555505,7794662.0,258328.0,107503.0,232739.0,96649.0,220445.0,90291.0,214851.0,85511.0,94.86885071
Togo,1976,0.0,619375134.2,251.3233693,6723.0,3270.0,362895.0,126041.0,34.73209,6080.0,1224.0,64404.0,15330.0,23.8028698,59162.0,13760.0,23.25816917,5242.0,1570.0,8.139249802,1634.0,2.215889509,2464455.0,106721.0,40979.0,69764.0,25510.0,61258.0,21724.0,45255.0,14890.0,91.86074829
Grenada,1977,0.0,71494481.48,792.762369,2487.0,1293.0,20259.0,9707.0,47.91450882,633.0,410.0,10088.0,5528.0,54.79777908,10088.0,5528.0,54.79777908,0.0,0.0,0.0,377.0,-1.379818281,90184.0,3347.0,1560.0,2757.0,1327.0,2645.0,1270.0,2787.0,1325.0,100.0
Syrian Arab Republic,1977,0.0,7696011360.0,954.7632405,36679.0,16175.0,1316152.0,528109.0,40.12522888,40218.0,19935.0,512187.0,166343.0,32.47700882,485873.0,160367.0,33.00595093,26314.0,5976.0,5.137579918,23743.0,3.355493393,8060649.0,265460.0,114101.0,243535.0,101607.0,225416.0,92631.0,210919.0,83805.0,94.86241913
Thailand,1977,0.0,19779315170.0,445.3194956,243041.0,117703.0,6810747.0,3231400.0,47.4455986,225387.0,100974.0,1324539.0,590523.0,44.5832901,1053625.0,466201.0,44.24734116,270914.0,124322.0,20.45346069,49229.0,2.344379766,44416010.0,1556958.0,746117.0,1301458.0,624925.0,1246072.0,598077.0,1105685.0,537728.0,79.54653931
Grenada,1978,0.0,88322370.37,991.5728714,2867.0,1548.0,19618.0,9378.0,47.80303955,610.0,406.0,10077.0,5493.0,54.51026917,10077.0,5493.0,54.51026917,0.0,0.0,0.0,403.0,-1.239576949,89073.0,3523.0,1594.0,2674.0,1257.0,2555.0,1235.0,2648.0,1294.0,100.0
Syrian Arab Republic,1978,0.0,9275203106.0,1112.612528,32633.0,14739.0,1356428.0,550445.0,40.58047867,42387.0,20906.0,545468.0,182363.0,33.43238831,520044.0,176461.0,33.93193817,25424.0,5902.0,4.660950184,24449.0,3.363955334,8336418.0,282012.0,121426.0,250866.0,106062.0,233758.0,96162.0,214546.0,86179.0,95.33905029
Thailand,1978,0.0,24006570178.0,528.5062578,262184.0,126918.0,6955623.0,3306786.0,47.5411911,240844.0,110600.0,1386136.0,627219.0,45.24945831,1112554.0,501543.0,45.0803299,273582.0,125676.0,19.73702049,59161.0,2.242819328,45423436.0,1544137.0,736767.0,1302428.0,625345.0,1273039.0,610658.0,1114180.0,542473.0,80.2629776
Togo,1978,0.0,824263841.5,319.9199531,6124.0,2873.0,421436.0,155586.0,36.9180603,7251.0,1512.0,96065.0,22175.0,23.08333015,88409.0,20168.0,22.81216049,7656.0,2007.0,7.969600201,2377.0,2.273016495,2576469.0,114892.0,46393.0,82253.0,32096.0,72101.0,26983.0,55677.0,19582.0,92.03040314
Syrian Arab Republic,1979,0.0,9929682184.0,1151.175406,33429.0,14822.0,1407223.0,578416.0,41.10335922,46132.0,23449.0,579739.0,200208.0,34.53416061,552677.0,193419.0,34.99674988,27062.0,6789.0,4.667960167,28300.0,3.411133201,8625690.0,292347.0,128515.0,264883.0,112475.0,246031.0,102760.0,223857.0,90788.0,95.33203888
Togo,1979,0.0,891775906.6,337.4301441,6973.0,3384.0,458104.0,173782.0,37.93505096,8264.0,1808.0,113730.0,27111.0,23.8380394,105770.0,24751.0,23.40077972,7960.0,2360.0,6.999030113,2686.0,2.543650992,2642846.0,125562.0,51532.0,88354.0,35262.0,78490.0,30068.0,60093.0,22089.0,93.00096893
Syrian Arab Republic,1980,0.0,13062421025.0,1462.630341,32539.0,14594.0,1481496.0,626912.0,42.31615067,50327.0,26561.0,588865.0,211208.0,35.86695862,563875.0,204339.0,36.23834991,24990.0,6869.0,4.243760109,32606.0,3.475810555,8930774.0,324895.0,151385.0,273979.0,119546.0,255485.0,107676.0,236373.0,97601.0,95.75624084
Togo,1980,0.0,1136408814.0,417.6685258,6484.0,3108.0,484272.0,186668.0,38.54610825,8920.0,1973.0,127894.0,30924.0,24.17939949,119801.0,28535.0,23.81867027,8093.0,2389.0,6.327899933,3217.0,2.908392182,2720839.0,126643.0,52442.0,94155.0,38137.0,84907.0,33432.0,64775.0,24224.0,93.67209625
Burundi,1982,0.0,1013222222.0,233.817671,1049.0,539.0,206408.0,79400.0,38.46749878,5252.0,2487.0,20398.0,7456.0,36.55260086,10509.0,3342.0,31.80130959,9889.0,4114.0,48.48023987,1155.0,2.575727198,4333386.0,48634.0,19203.0,39157.0,15099.0,34474.0,13132.0,29647.0,11184.0,51.51976013
Syrian Arab Republic,1982,0.0,16298905397.0,1699.532805,37703.0,16543.0,1642888.0,718168.0,43.71374893,59110.0,32440.0,635355.0,235010.0,36.98876953,600716.0,226288.0,37.66970825,34639.0,8722.0,5.451910019,35357.0,3.581283885,9590227.0,342209.0,159084.0,307721.0,139339.0,285044.0,126887.0,255915.0,110338.0,94.54808807
Togo,1982,0.0,821651918.7,281.8639162,9000.0,4381.0,498639.0,196384.0,39.38399887,9619.0,2044.0,130366.0,33057.0,25.35707092,122925.0,30779.0,25.03883934,7441.0,2278.0,5.707779884,4319.0,3.598261807,2915066.0,121652.0,51023.0,93591.0,38774.0,91868.0,37380.0,67739.0,26214.0,94.29222107
Burundi,1983,0.0,1082926304.0,243.4238066,1326.0,616.0,258927.0,101518.0,39.20719147,5500.0,2642.0,19917.0,6507.0,32.67058182,8971.0,2298.0,25.61586952,10946.0,4209.0,54.95808029,1269.0,2.626899005,4448728.0,82570.0,33980.0,41908.0,16155.0,38493.0,14859.0,33835.0,12845.0,45.04191971
Syrian Arab Republic,1983,0.0,17589184557.0,1769.740953,45197.0,19939.0,1716795.0,759161.0,44.21966934,62959.0,36240.0,687435.0,258503.0,37.60398865,643847.0,247989.0,38.51676178,43588.0,10514.0,6.340670109,40119.0,3.570645886,9938847.0,349037.0,160997.0,317179.0,145138.0,296813.0,133683.0,274591.0,121103.0,93.65933228
Togo,1983,0.0,765746590.6,253.0358123,9393.0,4603.0,492329.0,194608.0,39.52804184,10214.0,2132.0,119106.0,29804.0,25.02309036,112861.0,28108.0,24.90497017,6245.0,1696.0,5.243229866,4438.0,3.74278029,3026238.0,122223.0,51024.0,91129.0,37850.0,90280.0,37125.0,66450.0,25750.0,94.75676727
Burundi,1984,0.0,987143931.2,215.9441863,1333.0,624.0,301278.0,120648.0,40.04541016,5760.0,2716.0,21424.0,7066.0,32.9817009,9616.0,2552.0,26.53910065,11808.0,4514.0,55.1157608,1512.0,2.717766568,4571292.0,80535.0,34197.0,71559.0,29093.0,40380.0,15790.0,37299.0,14180.0,44.8842392
Grenada,1984,0.0,145533296.3,1478.410958,2790.0,1481.0,17265.0,8268.0,47.88879013,775.0,536.0,9994.0,5347.0,53.5021019,9994.0,5347.0,53.5021019,0.0,0.0,0.0,321.0,2.524513774,98439.0,2500.0,1190.0,2364.0,1120.0,2499.0,1207.0,2613.0,1265.0,100.0
Syrian Arab Republic,1984,0.0,17503082982.0,1700.476019,52228.0,23424.0,1823684.0,817698.0,44.83769989,67057.0,39776.0,755095.0,288386.0,38.19202042,701330.0,276255.0,39.39015961,53765.0,12131.0,7.120299816,45035.0,3.501779509,10293049.0,390881.0,182350.0,329129.0,150880.0,306832.0,139383.0,286460.0,128038.0,92.87969971
Togo,1984,0.0,718148959.6,228.6925986,9248.0,4580.0,457376.0,178837.0,39.10065079,10145.0,2143.0,101989.0,25084.0,24.59481049,95941.0,23664.0,24.66515923,6048.0,1420.0,5.930049896,4481.0,3.697801082,3140237.0,116313.0,48105.0,87377.0,35827.0,82650.0,33501.0,60987.0,23520.0,94.06994629
